,^BVSP,TAEE11.SA,PETR4.SA,BBDC4.SA,BBAS3.SA,GGBR4.SA,ITSA4.SA,VALE3.SA,USIM5.SA,B3SA3.SA
2015-10-15,47161.0,20.559999465942383,8.0,10.574478149414062,16.56999969482422,6.389999866485596,5.338365077972412,18.969999313354492,3.359999895095825,3.8399999141693115
2015-10-16,47236.0,20.950000762939453,7.949999809265137,10.372207641601562,16.280000686645508,6.199999809265137,5.245956897735596,18.420000076293945,3.3299999237060547,3.813333034515381
2015-10-19,47447.0,20.280000686645508,7.949999809265137,10.3580961227417,17.0,6.110000133514404,5.345473766326904,17.799999237060547,3.2100000381469727,3.819999933242798
2015-10-20,47077.0,19.799999237060547,8.050000190734863,10.11349105834961,16.450000762939453,6.070000171661377,5.27439022064209,17.610000610351562,3.109999895095825,3.793333053588867
2015-10-21,47026.0,19.600000381469727,7.75,10.127602577209473,16.649999618530273,6.230000019073486,5.267282009124756,18.09000015258789,3.009999990463257,3.7899999618530273
2015-10-22,47772.0,19.899999618530273,8.020000457763672,10.278128623962402,16.899999618530273,6.010000228881836,5.345473766326904,18.510000228881836,3.069999933242798,3.9533329010009766
2015-10-23,47597.0,19.920000076293945,7.989999771118164,10.137009620666504,16.670000076293945,5.760000228881836,5.309932231903076,18.600000381469727,3.069999933242798,4.016665935516357
2015-10-26,47209.0,19.850000381469727,7.849999904632568,10.061746597290039,16.34000015258789,5.710000038146973,5.2317399978637695,17.860000610351562,3.0399999618530273,4.0233330726623535
2015-10-27,47043.0,20.0,7.599999904632568,10.104083061218262,16.559999465942383,5.639999866485596,5.189089775085449,17.030000686645508,3.0399999618530273,3.983333110809326
2015-10-28,46741.0,19.809999465942383,7.949999809265137,10.54625415802002,16.280000686645508,5.639999866485596,5.153547763824463,16.56999969482422,2.9100000858306885,3.993333101272583
2015-10-29,45628.0,19.260000228881836,7.610000133514404,9.897109031677246,15.5,5.429999828338623,5.075356960296631,16.139999389648438,2.809999942779541,3.8399999141693115
2015-10-30,45869.0,19.899999618530273,7.710000038146973,9.87829303741455,15.970000267028809,5.429999828338623,5.118007183074951,17.059999465942383,2.7799999713897705,3.799999952316284
